Content,Paper Name,Label,Document Type,Affiliations
"Insulin resistance is a condition characterized by the attenuated biological response in the presence of normal or elevated insulin level and therefore is characterized by the impaired sensitivity to insulin and impaired glucose disposal and utilization. Insulin resistance in brain/Brain insulin resistance (BIR) is accompanied by the various manifestations including alteration in glucose sensing by hypothalamic neurons, impaired sympathetic outflow in response to hypoglycemia, increased ROS production, impaired mitochondrial oxygen consumption in the brain, cognitive deficits and neuronal cell damage. It has been reported that the disrupted insulin signaling is accompanied by the reduced expression of insulin receptor (IR)/insulin receptor",Brain insulin resistance mediated cognitive impairment and neurodegeneration: Type-3 diabetes or Alzheimer’s Disease,Alzheimer's Disease,Review,"Department of Pharmaceutical Sciences, Maharshi Dayanand University, Rohtak, HR, India; Shree Guru Gobind Singh Tricentenary University, Gurugram, HR, India"
"Prolactin is a pituitary anterior lobe hormone that plays a crucial role in milk secretion from the mammary glands. Hyperprolactinemia is a common endocrine disorder characterized by abnormally elevated levels of prolactin in the serum. Recent research findings indicate that prolactin also exerts important physiological effects beyond lactation, including effects on brain health and the central nervous system. The gut-brain axis has become an important area of neuroscience research, providing insights into the complex interactions between the gastrointestinal system and the central nervous system. Future research may involve developing new probiotic therapies or optimizing the gut microbiota through dietary and",Hyperprolactinemia and Brain Health: Exploring the Gut-Brain Axis and Therapeutic Strategies,Alzheimer's Disease,Review,"School of Pharmacy, Hubei University of Chinese Medicine, Wuhan, Hubei, China; Basic Medical School, Hubei University of Science and Technology, Xianning, Hubei, China; Engineering Research Center of TCM Protection Technology and New Product Development for the Elderly Brain Health, Hubei University of Chinese Medicine, Wuhan, Hubei, China"
"Lecanemab is an amyloid-targeted antibody indicated for treating patients with amyloid-confirmed early Alzheimer's Disease in mild dementia or mild cognitive impairment stages. We report here a case of a subject with early stage of Alzheimer's Disease dementia, amyloid positive, who developed severe acute urinary retention following his first dose of intravenous lecanemab. His urinary retention resolved after a week but recurred following the second intravenous dose 2 weeks later. Lecanemab was discontinued, but the urinary retention has persisted for 8 months indicating possible permanent adverse impact on the bladder. The Naranjo causality probability score was 6. The incidence of urinary",Severe Persistent Urinary Retention Following Treatment With Intravenous Lecanemab,Alzheimer's Disease,Article,"Department of Psychiatry, Duke University School of Medicine, Durham, NC, United States; Department of Neurology, Duke University School of Medicine, Durham, NC, United States; Duke University School of Medicine, Durham, NC, United States; Duke University School of Medicine, Durham, NC, United States"
"Glycoprotein 88 (GP88) is a secreted biomarker overexpressed in various cancers, as well as neurological and inflammatory diseases. In this study, we introduce the first disposable electrochemical immunosensor for GP88 detection that is built on a screen-printed carbon electrode modified with carboxylated multi-walled carbon nanotubes. Surface carboxyl groups are activated using EDC/NHS chemistry, followed by covalent attachment of streptavidin to facilitate the capture of a biotinylated anti-GP88 antibody. When exposed to GP88, the sensor shows a 19% increase in charge-transfer resistance, used as the sensor's response parameter, indicating a binding between GP88 and its biorecognition element. Reproducibility is confirmed with",An Impedimetric Immunosensor for Progranulin Detection Using Streptavidin-Biotin Conjugation on Carbon Screen-Printed Electrodes,Alzheimer's Disease,Article,"University of New Brunswick, Fredericton, NB, Canada; Department of Chemistry, Brock University, St. Catharines, ON, Canada"
"Disruption of the blood–brain barrier (BBB) accompanies many brain diseases, including stroke, neurodegenerative diseases, and brain tumors, leading to swelling, increased neuroinflammation, and neuronal death. In recent years, it has become clear that the c-Jun N-terminal kinase (JNK) signaling pathway is involved in disruption of the structural integrity of the BBB. Activation of the JNK signaling pathway has a negative effect on the functioning of the cellular elements of the neurovascular unit that form the BBB. The aim of this review is to assess the role of the JNK signaling pathway in the disruption of the structural integrity of the","Regulation of Blood–Brain Barrier Permeability via JNK Signaling Pathway: Mechanisms and Potential Therapeutic Strategies for Ischemic Stroke, Alzheimer’s Disease and Brain Tumors",Alzheimer's Disease,Review,"Department of Pharmacology, Research Institute of Pharmacology and Regenerative Medicine named after E.D. Goldberg, Tomsk, Tomsk Oblast, Russian Federation; Faculty of Radiophysics, Tomsk State University, Tomsk, Tomsk Oblast, Russian Federation; Department of Pharmacology, Siberian State Medical University, Tomsk, Tomsk Oblast, Russian Federation; Kizhner Research Center, Tomsk Polytechnic University, Tomsk, Tomsk Oblast, Russian Federation; Department of Microbiology and Cell Biology, Montana State University, Bozeman, MT, United States"
"We introduce a novel framework that integrates Hodge decomposition with Filtered Average Short-Term (FAST) functional connectivity to analyze dynamic functional connectivity (DFC) in EEG signals. This method leverages graph-based topology and simplicial analysis to explore transient connectivity patterns at multiple scales, addressing noise, sparsity, and computational efficiency. The temporal EEG data are first sparsified by keeping only the most globally important connections, instantaneous connectivity at these connections is then filtered by global long-term stable correlations. This tensor is then decomposed into three orthogonal components to study signal flows over higher-order structures such as triangle and loop structures. Our analysis of",A Hodge-FAST Framework for High-Resolution Dynamic Functional Connectivity Analysis of Higher Order Interactions in EEG Signals,Alzheimer's Disease,Article,
"Background: Alzheimer's disease (AD) is a neurodegenerative disorder linked to cognitive decline. Type 2 diabetes mellitus (T2DM) is a known risk factor for AD and may contribute to cerebellar atrophy, but their relationship remains unclear. Objective: This study investigated the impact of T2DM on cerebellar gray matter (GM) volume across normal cognition (NC), preclinical AD, and AD mild cognitive impairment (AD MCI) groups to explore its role in AD progression. Methods: Medical records of patients visiting St. Vincent's Hospital (September 2019–April 2024) were analyzed. Cerebellar GM volume was analyzed using voxel-based morphometry with SPM12. Group differences in cerebellar GM volume",Impact of type 2 diabetes mellitus on differential cerebellar volume reduction in Alzheimer's disease trajectory,Alzheimer's Disease,Article,"Department of Psychiatry, The Catholic University of Korea, College of Medicine, Seoul, South Korea; Department of Psychiatry, The Catholic University of Korea, St. Vincent's Hospital, Suwon, Gyeonggi-do, South Korea; Department of Psychiatry, The Catholic University of Korea Yeouido St. Mary's Hospital, Seoul, South Korea; Department of Psychiatry, The Catholic University of Korea Seoul St. Mary's Hospital, Seoul, South Korea; Department of Radiology, The Catholic University of Korea, College of Medicine, Seoul, South Korea; Department of Radiology, The Catholic University of Korea, St. Vincent's Hospital, Suwon, Gyeonggi-do, South Korea"
"Different forms of phosphorylated tau (p-tau) have shown strong potential as Alzheimer’s disease (AD) biomarkers in both cerebrospinal fluid (CSF) and plasma. We hypothesized that p-tau proteoforms simultaneously phosphorylated at two different sites may have an increased diagnostic value compared with tau phosphorylated at a single site. Here, we developed two immunoassays detecting CSF and plasma tau simultaneously phosphorylated at both T181 and T231 (p-tau181&231) and at T217 and T231 (p-tau217&231). Subsequently, we measured CSF and plasma p-tau181&231, p-tau217&231, p-tau181, p-tau217, and p-tau231 levels in two cohorts across the AD continuum and in frontotemporal dementia (FTD) patients (discovery n =",Immunoassay detection of multiphosphorylated tau proteoforms as cerebrospinal fluid and plasma Alzheimer’s disease biomarkers,Alzheimer's Disease,Article,"Department of Medicine and Surgery, Università degli Studi di Perugia, Perugia, PG, Italy; Laboratory of Neurochemistry, Amsterdam UMC, Amsterdam, Netherlands; Department of Medicine and Surgery, Università degli Studi di Perugia, Perugia, PG, Italy"
"In this work, we developed potential multifunctional agents to combat Alzheimer's disease. According to our strategy, fragments of tacrine and donepezil were merged in a unique hybrid structure. After successfully synthesizing the compounds, they were evaluated for their dual AChE/BuChE inhibitor potential and neuroprotector response using a glutamate-induced excitotoxicity model. Most of the compounds showed promising activity. Among them, the hybrid with 2,5-dimetoxysubstitution (3b) was the most potent analogue, triggering dual potent AChE/BuChE inhibition with low nanomolar affinity (IC<inf>50</inf> ∼ 300 nM) and low toxicity to human liver cancer cells (HepG2). This analogue prevented the glutamate excitotoxic stimulus during pre/post",Novel multipotent conjugate bearing tacrine and donepezil motifs with dual cholinergic inhibition and neuroprotective properties targeting Alzheimer's disease,Alzheimer's Disease,Article,"Chemistry of Colombian Plants, Universidad de Antioquia, Medellin, Antioquia, Colombia; Grupo de Investigación en Sustancias Bioactivas, Universidad de Antioquia, Medellin, Antioquia, Colombia; Área de Neurofisiología celular, Universidad de Antioquia, Medellin, Antioquia, Colombia; Área de Neurobiología Celular y Molecular, Universidad de Antioquia, Medellin, Antioquia, Colombia"
"This study aims to investigate the syntactic complexity in individuals with Alzheimer’s disease (AD) by conducting a comprehensive analysis that incorporates mean dependency distance (MDD), fine-grained grammatical metrics, and dependency network structures. A total of 150 adults with AD and 150 healthy controls (HC) responded in English to interview prompts based on the Cookie Theft picture description task, and the results were compared. The key findings are as follows: (1) The primary syntactic change is a strategic shift from hierarchical, clause-based constructions to linear, phrase-based ones, a direct consequence of working memory deficits designed to minimize cognitive load. (2) This",Dependency Grammar Approach to the Syntactic Complexity in the Discourse of Alzheimer Patients,Alzheimer's Disease,Article,"College of Humanities and Foreign Languages, Xi'an University of Science and Technology, Xi'an, Shaanxi, China"
